patch-size,x-offset,y-offset,distance,tally,step_sum,avg,total_steps
1.0,49.0,49.0,69.3,8.0,42265.0,5283.125,647881.0
1.0,50.0,50.0,70.71,2.0,13400.0,6700.0,679311.0
1.0,51.0,51.0,72.12,7.0,38246.0,5463.714285714285,699886.0
1.0,52.0,52.0,73.54,11.0,60404.0,5491.272727272727,706232.0
1.0,53.0,53.0,74.95,3.0,13268.0,4422.666666666667,708304.0
1.0,54.0,54.0,76.37,5.0,19386.0,3877.2,694940.0
1.0,55.0,55.0,77.78,3.0,18391.0,6130.333333333333,709780.0
1.0,56.0,56.0,79.2,4.0,20295.0,5073.75,699037.0
1.0,57.0,57.0,80.61,4.0,14325.0,3581.25,666692.0
1.0,58.0,58.0,82.02,5.0,26707.0,5341.4,671909.0
1.0,59.0,59.0,83.44,3.0,19488.0,6496.0,747885.0
1.0,60.0,60.0,84.85,4.0,18996.0,4749.0,686918.0
1.0,61.0,61.0,86.27,2.0,15668.0,7834.0,713654.0
1.0,62.0,62.0,87.68,2.0,11237.0,5618.5,668978.0
1.0,63.0,63.0,89.1,2.0,18970.0,9485.0,701680.0
1.0,64.0,64.0,90.51,1.0,3869.0,3869.0,728195.0
1.0,65.0,65.0,91.92,2.0,10807.0,5403.5,697010.0
1.0,66.0,66.0,93.34,1.0,6039.0,6039.0,711081.0
1.0,67.0,67.0,94.75,3.0,13924.0,4641.333333333333,664927.0
1.0,68.0,68.0,96.17,4.0,20949.0,5237.25,742106.0
1.0,69.0,69.0,97.58,4.0,17452.0,4363.0,717800.0
1.0,70.0,70.0,98.99,5.0,28537.0,5707.4,716462.0
1.0,71.0,71.0,100.41,3.0,18563.0,6187.666666666667,668562.0
1.0,72.0,72.0,101.82,0.0,0.0,0.0,730472.0
1.0,73.0,73.0,103.24,0.0,0.0,0.0,653309.0
1.0,74.0,74.0,104.65,0.0,0.0,0.0,677195.0
1.0,75.0,75.0,106.07,1.0,6854.0,6854.0,721967.0
1.0,76.0,76.0,107.48,0.0,0.0,0.0,657775.0
1.0,77.0,77.0,108.89,0.0,0.0,0.0,702408.0
1.0,78.0,78.0,110.31,0.0,0.0,0.0,683085.0
1.0,79.0,79.0,111.72,2.0,11999.0,5999.5,658103.0
1.0,80.0,80.0,113.14,0.0,0.0,0.0,706641.0
1.0,81.0,81.0,114.55,0.0,0.0,0.0,728476.0
1.0,82.0,82.0,115.97,1.0,8154.0,8154.0,717924.0
1.0,83.0,83.0,117.38,0.0,0.0,0.0,689183.0
1.0,84.0,84.0,118.79,0.0,0.0,0.0,691602.0
1.0,85.0,85.0,120.21,0.0,0.0,0.0,750261.0
1.0,86.0,86.0,121.62,0.0,0.0,0.0,711506.0
1.0,87.0,87.0,123.04,0.0,0.0,0.0,718629.0
1.0,88.0,88.0,124.45,1.0,9719.0,9719.0,681558.0
1.0,89.0,89.0,125.87,0.0,0.0,0.0,700869.0
1.0,90.0,90.0,127.28,0.0,0.0,0.0,688625.0
1.0,91.0,91.0,128.69,0.0,0.0,0.0,693371.0
1.0,92.0,92.0,130.11,1.0,9089.0,9089.0,694696.0
1.0,93.0,93.0,131.52,0.0,0.0,0.0,681090.0
1.0,94.0,94.0,132.94,0.0,0.0,0.0,663535.0
1.0,95.0,95.0,134.35,1.0,6209.0,6209.0,675125.0
1.0,96.0,96.0,135.76,0.0,0.0,0.0,721599.0
1.0,97.0,97.0,137.18,0.0,0.0,0.0,707243.0
